LATITUDE,LONGITUDE,OFFENSE,Count
38.89188859,-76.91885074,THEFT F/AUTO,1
38.90180609,-77.02091267,ROBBERY,1
38.92242448,-77.02887567,MOTOR VEHICLE THEFT,1
38.90801416,-76.98856275,THEFT/OTHER,2
38.92501995,-77.02417157,THEFT F/AUTO,9
38.90310311,-76.97808395,THEFT/OTHER,2
38.92448878,-77.02256842,THEFT/OTHER,1
38.85744156,-76.9957832,THEFT/OTHER,5
38.92236947,-76.9674457,THEFT F/AUTO,15
38.85745927,-76.99051795,THEFT/OTHER,4
38.95652321,-77.01697142,BURGLARY,2
38.86233089,-76.94856531,ROBBERY,1
38.82508328,-77.00145103,MOTOR VEHICLE THEFT,2
38.90599883,-77.06120833,THEFT F/AUTO,18
38.91502008,-77.02703931,THEFT F/AUTO,7
38.95800968,-77.01617568,ROBBERY,1
38.89960828,-76.98039065,THEFT F/AUTO,5
38.89973956,-76.92589704,ASSAULT W/DANGEROUS WEAPON,1
38.91482277,-77.02294587,THEFT F/AUTO,48
38.90680009,-77.06213136,THEFT F/AUTO,16
38.93028932,-77.02645691,THEFT/OTHER,1
38.91699343,-77.02464162,ROBBERY,11
38.92102815,-76.97092886,THEFT F/AUTO,10
38.91483065,-77.02808852,THEFT F/AUTO,14
38.90251661,-77.02651578,MOTOR VEHICLE THEFT,1
38.90252097,-77.0307907,THEFT F/AUTO,12
38.9133454,-77.0229454,THEFT F/AUTO,2
38.91699343,-77.02464162,THEFT/OTHER,31
38.91686756,-77.02344236,ROBBERY,3
38.95270347,-77.08162228,BURGLARY,1
38.91174606,-76.93860226,ROBBERY,2
38.93408213,-77.02499354,THEFT F/AUTO,7
38.89486022,-76.94859949,THEFT/OTHER,44
38.88442351,-76.95866892,THEFT F/AUTO,2
38.85748348,-76.97264837,THEFT/OTHER,4
38.86076572,-76.99756889,MOTOR VEHICLE THEFT,2
38.89334609,-76.94697526,THEFT/OTHER,27
38.89651619,-76.91504136,HOMICIDE,1
38.93161415,-77.02360867,THEFT/OTHER,3
38.91756149,-77.09435845,THEFT F/AUTO,2
38.90565457,-77.04578208,THEFT/OTHER,7
38.91719047,-77.09641047,THEFT F/AUTO,1
38.88198944,-76.9949865,THEFT/OTHER,10
38.90372673,-77.00167168,THEFT F/AUTO,2
38.94207232,-77.02578072,THEFT/OTHER,1
38.89612366,-77.00277814,ROBBERY,2
38.91958618,-77.07214019,THEFT F/AUTO,2
38.93062973,-77.03381518,ASSAULT W/DANGEROUS WEAPON,1
